date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20180815,4916,事欣科,2259203,35.80,36.45,35.30,35.35,yearly_2018.zip,0.7799610309,27.922605,28.429580,27.532624,27.571622,OK
20180816,4916,事欣科,620023,34.35,34.70,34.15,34.20,yearly_2018.zip,0.8024337148,27.563598,27.844450,27.403111,27.443233,OK
20180817,4916,事欣科,487500,34.90,34.90,34.30,34.30,yearly_2018.zip,0.8024337148,28.004937,28.004937,27.523476,27.523476,OK
20180820,4916,事欣科,267400,34.35,34.80,34.15,34.30,yearly_2018.zip,0.8024337148,27.563598,27.924693,27.403111,27.523476,OK
20180821,4916,事欣科,496100,34.85,35.50,34.45,35.50,yearly_2018.zip,0.8024337148,27.964815,28.486397,27.643841,28.486397,OK
20180822,4916,事欣科,2509020,35.95,37.25,35.80,35.90,yearly_2018.zip,0.8024337148,28.847492,29.890656,28.727127,28.807370,OK
20180823,4916,事欣科,2129221,36.45,37.20,36.35,36.45,yearly_2018.zip,0.8024337148,29.248709,29.850534,29.168466,29.248709,OK
20180824,4916,事欣科,786520,36.75,37.00,35.60,35.90,yearly_2018.zip,0.8024337148,29.489439,29.690047,28.566640,28.807370,OK
20180827,4916,事欣科,499235,36.20,36.25,35.50,36.00,yearly_2018.zip,0.8024337148,29.048100,29.088222,28.486397,28.887614,OK
20180828,4916,事欣科,703700,36.00,36.50,35.80,36.10,yearly_2018.zip,0.8024337148,28.887614,29.288831,28.727127,28.967857,OK
20180829,4916,事欣科,555200,36.15,36.70,36.10,36.10,yearly_2018.zip,0.8024337148,29.007979,29.449317,28.967857,28.967857,OK
20180830,4916,事欣科,434100,36.45,36.55,35.65,35.75,yearly_2018.zip,0.8024337148,29.248709,29.328952,28.606762,28.687005,OK
20180831,4916,事欣科,272101,35.70,36.00,35.50,35.95,yearly_2018.zip,0.8024337148,28.646884,28.887614,28.486397,28.847492,OK
20180903,4916,事欣科,358602,36.00,36.30,35.40,35.55,yearly_2018.zip,0.8024337148,28.887614,29.128344,28.406154,28.526519,OK
20180904,4916,事欣科,161215,35.60,35.70,35.45,35.50,yearly_2018.zip,0.8024337148,28.566640,28.646884,28.446275,28.486397,OK
20180905,4916,事欣科,283000,35.60,35.95,35.40,35.40,yearly_2018.zip,0.8024337148,28.566640,28.847492,28.406154,28.406154,OK
20180906,4916,事欣科,371340,35.40,35.70,35.10,35.10,yearly_2018.zip,0.8024337148,28.406154,28.646884,28.165423,28.165423,OK
20180907,4916,事欣科,685885,35.30,35.30,33.50,33.95,yearly_2018.zip,0.8024337148,28.325910,28.325910,26.881529,27.242625,OK
20180910,4916,事欣科,629646,33.60,33.75,32.25,32.50,yearly_2018.zip,0.8024337148,26.961773,27.082138,25.878487,26.079096,OK
20180911,4916,事欣科,313100,32.50,33.35,32.50,33.35,yearly_2018.zip,0.8024337148,26.079096,26.761164,26.079096,26.761164,OK
20180912,4916,事欣科,238100,33.85,33.95,33.05,33.35,yearly_2018.zip,0.8024337148,27.162381,27.242625,26.520434,26.761164,OK
20180913,4916,事欣科,98432,33.25,33.80,33.25,33.60,yearly_2018.zip,0.8024337148,26.680921,27.122260,26.680921,26.961773,OK
20180914,4916,事欣科,186100,33.60,33.95,33.50,33.80,yearly_2018.zip,0.8024337148,26.961773,27.242625,26.881529,27.122260,OK
20180917,4916,事欣科,160402,33.80,33.80,33.25,33.35,yearly_2018.zip,0.8024337148,27.122260,27.122260,26.680921,26.761164,OK
